iter	Passed	Remaining
529	5473	4854
530	5483	4843
531	5493	4832
532	5503	4821
533	5519	4816
534	5530	4806
535	5540	4796
536	5551	4786
537	5561	4775
538	5571	4764
539	5581	4754
540	5592	4744
541	5602	4733
542	5612	4723
543	5623	4713
544	5633	4702
545	5643	4692
546	5653	4681
547	5663	4671
548	5673	4660
549	5683	4650
550	5694	4640
551	5704	4629
552	5715	4620
553	5725	4609
554	5735	4599
555	5745	4588
556	5755	4577
557	5765	4567
558	5775	4556
559	5786	4546
560	5796	4535
561	5806	4525
562	5816	4515
563	5827	4504
564	5837	4494
565	5847	4483
566	5858	4473
567	5868	4463
568	5878	4452
569	5888	4442
570	5898	4431
571	5909	4421
572	5919	4411
573	5930	4401
574	5941	4391
575	5950	4380
576	5961	4370
577	5971	4360
578	5981	4349
579	5992	4339
580	6002	4328
581	6012	4318
582	6022	4307
583	6032	4297
584	6043	4286
585	6056	4278
586	6070	4270
587	6080	4260
588	6092	4250
589	6104	4242
590	6118	4234
591	6135	4228
592	6152	4223
593	6163	4212
594	6174	4202
595	6184	4192
596	6194	4181
597	6205	4171
598	6215	4160
599	6225	4150
600	6236	4140
601	6252	4133
602	6262	4123
603	6273	4112
604	6283	4102
605	6294	4092
606	6304	4081
607	6313	4070
608	6325	4061
609	6335	4050
610	6345	4039
611	6356	4029
612	6366	4019
613	6376	4008
614	6387	3998
615	6397	3988
616	6408	3978
617	6419	3967
618	6429	3957
619	6439	3946
620	6450	3936
621	6460	3926
622	6470	3915
623	6480	3904
624	6490	3894
625	6501	3884
626	6514	3875
627	6524	3864
628	6534	3854
629	6545	3843
630	6555	3833
631	6565	3823
632	6576	3812
633	6586	3802
634	6597	3792
635	6607	3781
636	6617	3771
637	6627	3760
638	6638	3750
639	6648	3739
640	6658	3729
641	6668	3718
642	6679	3708
643	6690	3698
644	6700	3687
645	6711	3677
646	6721	3667
647	6731	3656
648	6741	3646
649	6752	3635
650	6763	3626
651	6774	3615
652	6784	3605
653	6795	3594
654	6804	3584
655	6815	3574
656	6826	3563
657	6836	3553
658	6846	3542
659	6857	3532
660	6867	3522
661	6878	3511
662	6888	3501
663	6898	3490
664	6909	3480
665	6919	3470
666	6930	3460
667	6940	3449
668	6950	3438
669	6960	3428
670	6970	3417
671	6981	3407
672	6991	3397
673	7002	3386
674	7012	3376
675	7023	3366
676	7033	3355
677	7044	3345
678	7054	3335
679	7065	3324
680	7075	3314
681	7085	3303
682	7096	3293
683	7106	3283
684	7117	3272
685	7127	3262
686	7137	3251
687	7147	3241
688	7158	3231
689	7168	3220
690	7178	3210
691	7188	3199
692	7199	3189
693	7209	3178
694	7219	3168
695	7229	3157
696	7240	3147
697	7251	3137
698	7261	3127
699	7271	3116
700	7284	3106
701	7294	3096
702	7304	3086
703	7315	3075
704	7325	3065
705	7336	3055
706	7347	3044
707	7358	3034
708	7368	3024
709	7378	3013
710	7389	3003
711	7399	2993
712	7409	2982
713	7419	2972
714	7430	2961
715	7440	2951
716	7452	2941
717	7462	2930
718	7471	2920
719	7482	2909
720	7492	2899
721	7502	2888
722	7516	2879
723	7526	2869
724	7537	2858
725	7549	2849
726	7559	2838
727	7570	2828
728	7580	2817
729	7591	2807
730	7601	2797
731	7611	2786
732	7621	2776
733	7631	2765
734	7642	2755
735	7652	2744
736	7662	2734
737	7673	2724
738	7684	2713
739	7693	2703
740	7704	2692
741	7714	2682
742	7724	2671
743	7734	2661
744	7745	2651
745	7756	2640
746	7766	2630
747	7776	2620
748	7787	2609
749	7797	2599
750	7808	2589
751	7819	2578
752	7829	2568
753	7839	2557
754	7849	2547
755	7859	2536
756	7870	2526
757	7880	2515
758	7890	2505
759	7901	2495
760	7911	2484
761	7922	2474
762	7932	2463
763	7942	2453
764	7952	2443
765	7963	2432
766	7973	2422
767	7984	2411
768	7994	2401
769	8005	2391
770	8014	2380
771	8025	2370
772	8035	2359
773	8046	2349
774	8057	2339
775	8067	2328
776	8077	2318
777	8088	2307
778	8098	2297
779	8108	2286
780	8118	2276
781	8129	2266
782	8139	2255
783	8149	2245
784	8159	2234
785	8169	2224
786	8180	2214
787	8190	2203
788	8201	2193
789	8211	2182
790	8221	2172
791	8231	2161
792	8241	2151
793	8251	2140
794	8262	2130
795	8272	2120
796	8283	2109
797	8293	2099
798	8304	2089
799	8314	2078
800	8325	2068
801	8336	2058
802	8346	2047
803	8356	2037
804	8366	2026
805	8377	2016
806	8388	2006
807	8399	1995
808	8410	1985
809	8420	1975
810	8430	1964
811	8440	1954
812	8450	1943
813	8461	1933
814	8471	1923
815	8481	1912
816	8492	1902
817	8502	1891
818	8515	1882
819	8525	1871
820	8537	1861
821	8548	1851
822	8558	1840
823	8568	1830
824	8579	1819
825	8589	1809
826	8600	1799
827	8610	1788
828	8620	1778
829	8630	1767
830	8641	1757
831	8651	1746
832	8662	1736
833	8672	1726
834	8682	1715
835	8692	1705
836	8703	1694
837	8713	1684
838	8723	1674
839	8734	1663
840	8744	1653
841	8755	1642
842	8765	1632
843	8775	1622
844	8785	1611
845	8795	1601
846	8806	1590
847	8816	1580
848	8826	1569
849	8836	1559
850	8847	1549
851	8858	1538
852	8868	1528
853	8879	1518
854	8889	1507
855	8901	1497
856	8912	1487
857	8922	1476
858	8932	1466
859	8943	1455
860	8953	1445
861	8964	1435
862	8974	1424
863	8984	1414
864	8994	1403
865	9005	1393
866	9015	1383
867	9026	1372
868	9036	1362
869	9046	1351
870	9056	1341
871	9066	1330
872	9077	1320
873	9087	1310
874	9098	1299
875	9108	1289
876	9119	1278
877	9129	1268
878	9139	1258
879	9149	1247
880	9159	1237
881	9170	1226
882	9181	1216
883	9191	1206
884	9201	1195
885	9213	1185
886	9223	1175
887	9234	1164
888	9244	1154
889	9254	1143
890	9264	1133
891	9275	1122
892	9285	1112
893	9295	1102
894	9305	1091
895	9316	1081
896	9326	1070
897	9336	1060
898	9347	1050
899	9357	1039
900	9367	1029
901	9378	1018
902	9388	1008
903	9399	998
904	9409	987
905	9419	977
906	9430	966
907	9440	956
908	9451	946
909	9461	935
910	9471	925
911	9482	914
912	9491	904
913	9505	894
914	9519	884
915	9529	873
916	9540	863
917	9550	853
918	9561	842
919	9571	832
920	9581	821
921	9591	811
922	9601	801
923	9612	790
924	9622	780
925	9632	769
926	9643	759
927	9653	748
928	9664	738
929	9674	728
930	9684	717
931	9695	707
932	9705	696
933	9716	686
934	9726	676
935	9736	665
936	9746	655
937	9757	644
938	9768	634
939	9778	624
940	9788	613
941	9799	603
942	9809	592
943	9819	582
944	9829	572
945	9840	561
946	9850	551
947	9860	540
948	9870	530
949	9881	520
950	9891	509
951	9902	499
952	9913	488
953	9923	478
954	9933	468
955	9943	457
956	9954	447
957	9964	436
958	9974	426
959	9985	416
960	9995	405
961	10005	395
962	10016	384
963	10026	374
964	10036	364
965	10047	353
966	10057	343
967	10067	332
968	10078	322
969	10088	312
970	10099	301
971	10109	291
972	10120	280
973	10130	270
974	10141	260
975	10151	249
976	10162	239
977	10172	228
978	10182	218
979	10192	208
980	10210	197
981	10220	187
982	10230	176
983	10241	166
984	10251	156
985	10261	145
986	10271	135
987	10281	124
988	10292	114
989	10303	104
990	10313	93
991	10323	83
992	10333	72
993	10343	62
994	10354	52
995	10364	41
996	10372	31
997	10380	20
998	10388	10
999	10395	0
6	10378	31
997	10388	20
998	10398	10
999	10410	0
