iter	Logloss
0	0.6406312851
1	0.5967996415
2	0.544779862
3	0.5032727811
4	0.4599797842
5	0.420336785
6	0.3905330373
7	0.3604372841
8	0.3281223074
9	0.3059861739
10	0.279298705
11	0.2566803211
12	0.2348665489
13	0.216194217
14	0.1974795852
15	0.1843366579
16	0.1725337943
17	0.157591365
18	0.1467331152
19	0.1352127722
20	0.1241104527
21	0.1140742899
22	0.107079458
23	0.09882767434
24	0.09091976507
25	0.08394692839
26	0.07783411768
27	0.07203872381
28	0.06682056438
29	0.06224608553
30	0.05776061076
31	0.05491243096
32	0.05114281015
33	0.04767720694
34	0.04504975873
35	0.04212341316
36	0.03946842157
37	0.03681498924
38	0.03436306193
39	0.03224947238
40	0.03004037653
41	0.028329719
42	0.02656128876
43	0.02506512747
44	0.02381088348
45	0.02256685421
46	0.02131185391
47	0.02011361576
48	0.01897371905
49	0.01811246615
50	0.01727949058
51	0.01635800483
52	0.01547276663
53	0.01480995381
54	0.01408059786
55	0.01337692141
56	0.01280527288
57	0.01225337492
58	0.01160616597
59	0.01112052234
60	0.01064095728
61	0.01016475385
62	0.009786198804
63	0.009407172001
64	0.009019836419
65	0.00866280405
66	0.008335055894
67	0.007986970738
68	0.00762785541
69	0.007317789507
70	0.007009704258
71	0.006715114051
72	0.006427587512
73	0.006235798307
74	0.006049687773
75	0.00580360544
76	0.005593603054
77	0.005452584997
78	0.005241382028
79	0.005048833782
80	0.004882617197
81	0.00470349314
82	0.00453702481
83	0.004367352756
84	0.004214230958
85	0.004088640408
86	0.003930183473
87	0.003817850997
88	0.003683126296
89	0.003543883601
90	0.003447708401
91	0.003337376991
92	0.00324995351
93	0.003156946886
94	0.003060633198
95	0.002974448544
96	0.002890019954
97	0.002801336616
98	0.002726369352
99	0.002651774726
100	0.002584319889
101	0.002512673315
102	0.002442149446
103	0.002380386486
104	0.002324575206
105	0.002260923565
106	0.002202472367
107	0.002159348671
108	0.00210436474
109	0.00205051109
110	0.002003388231
111	0.001956812792
112	0.001919117757
113	0.001870759479
114	0.001823570046
